,Unnamed: 0,price,superficie_habitable,superficie_terrain,codeP,gouvernorat,delegation,localite,adresse,anneeConst,nbpiece,typeImm,fonds,plein_air,salle_de_bain,constructible,service,chauffage,climatisation,cuisine,installations_sportives,description
29653,29653,420793.0,165.0,165.0,,NABEUL,HAMMAMET,,"YASMINE HAMAMET, Hammamet, Nabeul",,4,appartement,,,1,,,,,,,
29908,29908,200000.0,500.0,500.0,,NABEUL,HAMMAMET,,"Hammamet, Nabeul",,0,appartement,,,6+,,,,,,,
29922,29922,90000.0,150.0,150.0,,NABEUL,KELIBIA,,"kelibia, Kélibia, Nabeul",,2,appartement,,,1,,,,,,,
29970,29970,95000.0,150.0,150.0,,NABEUL,HAMMAMET,,"Hammamet Centre, Nabeul",,0,appartement,,,1,,,,,,,
29992,29992,350000.0,150.0,150.0,,NABEUL,HAMMAMET,,"Hammamet Centre, Nabeul",,4,appartement,,,4,,,,,,,
29999,29999,330000.0,150.0,150.0,,NABEUL,HAMMAMET,,"Hammamet Centre, Nabeul",,0,appartement,,,1,,,,,,,
30505,30505,155000.0,150.0,150.0,,NABEUL,HAMMAMET,,"Hammamet Centre, Nabeul",,2,appartement,,,1,,,,,,,
30520,30520,75000.0,150.0,150.0,,NABEUL,HAMMAMET,,"Hammamet, Hammamet, Nabeul",,0,appartement,,,,,,,,,,
30686,30686,250000.0,150.0,150.0,,NABEUL,,,"Nabeul, Dar Châabane El Fehri, Nabeul",,0,appartement,,,1,,,,,,,
31069,31069,80000.0,128.0,128.0,,NABEUL,KELIBIA,,"rue el manar, Kélibia, Nabeul",,4,appartement,,,1,,,,,,,
31278,31278,800000.0,247.0,247.0,,NABEUL,HAMMAMET,,"Hammamet, Hammamet Centre, Nabeul",,9,appartement,,,,,,,,,,
31396,31396,481380.0,170.0,170.0,,NABEUL,HAMMAMET,,"HAMAMMET, Hammamet Nord, Nabeul",,0,appartement,,,1,,,,,,,
31398,31398,614720.0,217.0,217.0,,NABEUL,HAMMAMET,,"HAMMAMET, Hammamet Nord, Nabeul",,0,appartement,,,,,,,,,,
31430,31430,180000.0,160.0,160.0,,NABEUL,KORBA,,"https //www.facebook.com/commerce/products/2050985, Korba, Nabeul",,0,appartement,,,2,,,,,,,
31432,31432,180000.0,165.0,165.0,,NABEUL,KORBA,,"Korba, Nabeul",,0,appartement,,,1,,,,,,,
31435,31435,215000.0,150.0,150.0,8050.0,NABEUL,HAMMAMET,CHAABET EL MREZGA,"Hammamet, Mrezga, Nabeul",,0,appartement,,,,,,,,,,
31436,31436,242000.0,150.0,150.0,8050.0,NABEUL,HAMMAMET,CHAABET EL MREZGA,"Hammamet, Mrezga, Nabeul",,0,appartement,,,,,,,,,,
31438,31438,235000.0,150.0,150.0,8050.0,NABEUL,HAMMAMET,CHAABET EL MREZGA,"Hammamet, Mrezga, Nabeul",,0,appartement,,,,,,,,,,
31445,31445,260000.0,150.0,150.0,,NABEUL,HAMMAMET,,"Barreket Essehel, Hammamet, Nabeul",,4,appartement,,,2,,,,,,,
31449,31449,200000.0,150.0,150.0,,NABEUL,HAMMAMET,,"Hammamet, Hammamet Nord, Nabeul",,0,appartement,,,,,,,,,,
31453,31453,370000.0,150.0,150.0,,NABEUL,HAMMAMET,,"Hammamet, Hammamet Sud, Nabeul",,2,appartement,,,2,,,,,,,
31456,31456,180000.0,150.0,150.0,,NABEUL,HAMMAMET,,"Hammamet, Nabeul",,0,appartement,,,1,,,,,,,
31539,31539,210000.0,54.0,54.0,5080.0,NABEUL,HAMMAMET,,"Hammamet, Tunisie/ Ville   Nabeul/ Région   hammamet",,1,appartement,,,,,,,,,,"Bousten   Votre rêve, notre réalité !  La société Kahloun immobilière, vous propose à Hammamet, dans une résidence clôturée, gardée et télésurveillée, une panoplie d’appartements allant du S+0 au S+3 avec une superficie à partir de 54 m². Le caractère de la résidence « Bousten » est marqué par son haut standing, la fiabilité et la grande qualité des matériaux mis en œuvre. De même, l’architecture de la résidence déploie un style contemporain épuré.  Les appartements disposent d’un design exquis avec des espaces de vie spacieux, de grandes vérandas, des jardins et des piscines. La résidence BOUSTEN est dans un quartier hôtelier très calme et à 100m de la plus belle plage de Hammamet. Prix S+1 à partir de 210000DT S+2 à partir de 285000DT Nos conseillers sont disponibles 7j/7j pour vous donner plus d’informations et vous faire visiter notre appartement témoin   +216 70 258 800 vente@kahimm.com"
31560,31560,250000.0,85.0,85.0,8050.0,NABEUL,HAMMAMET,,HAMMAMET/ Ville   Nabeul,2020,1,appartement,1,,1,,,,,,,"Promoteur immobilier met en vente Nouvelle Résidence THS à Hammamet Nord coté HOTEL AZIZA ET RADISON BLUE. La résidence se compose de 26 appartements (R+2) avec piscine collectif située dans un excellent emplacement en plein zone touristique Hammamet Nord et à 3 minutes de la mer à pied, proche de toutes commodités front de mer en face hôtel « RADISON BLUE ». Chaque appartement (S+1) AVEC terrasse ou jardin. L’appartement est composé d’un salon meublé (salon, tv et un récepteur et un tableau original de peintre à l’huile) . La cuisine est totalement équipée et aménagée (lavelinge, lavevaisselle, four, gazinière, hotte, réfrigérateur, ménagère, service céramique, et accessoires cuisine). La chambre à coucher est meublé (2lits avec leurs matelas, oreillers et draps housses avec deux dressings et une salle de bain bien équipée. L’appartement est doté de chauffage central, climatiseurs et alarmes. La résidence est équipée d’un ascenseur et parking au soussol avec piscine collective, et des coins de détente au jardin. Le prix des appartement avec parking sous sol avec meuble entre 250 MD et 350 MD contacter  22135639"
31574,31574,180000.0,75.0,75.0,,NABEUL,,,,1,0,appartement,0,,1,,,,,,,"A vendre un appartement très propre, au rez de chaussée, de type s+2, bien meublé, avec climatisation chaud froid, de 70 m², situé au centre ville Hammamet près du marché municipal et de l’arrêt du bus, à deux pas de la mer. Papiers en règle Prix   180 Mille Dinars Numéro à contacter   27033510"
31581,31581,430000.0,150.0,150.0,8050.0,NABEUL,,,rue Ahmed TLILI / Ville   Nabeul,1997,0,appartement,1,,1,,,,,,,"A Hammamet Centre, dans un quartier résidentiel, un bel appartement au premier et dernier étage, d’une petite résidence, et d’une surface bâtie de 230 m², lumineux et bien agencé. Côté jour, il se compose d’un salon séjour, salle à manger donnant sur une terrasse, et une cuisine équipée, Côté nuit, quatre chambres munies de rangements étagères, penderies, et espaces pour encombrants, salle de bains et wc. Chauffage central et climatisation réversible dans toutes les pièces L’accès se fait par une impasse large, une entrée exclusive avec une montée d’escaliers qui sert l’étage et la terrasse au 2ème niveau, de même surface constructible, Un garage exclusif sur rue. L’ensemble proposé pour 430000 TND Pour plus d’information et/ou visite, je suis à votre disposition Tél   +216 92 152 688, Mr EMTEZ Agence ou intermédiaire s’abstenir."
31709,31709,295000.0,150.0,150.0,,NABEUL,,,HAMMMAMET / Ville   Nabeul,,0,appartement,,,,,,,,,,SSuperficie terrasse   40m²  Climatiseur installé  Chauffage central  Cameras de surveillance  Isolation phonique et thermique Prix de vente   295 MD Réf   AH020 Superficie couvert   95m²
31895,31895,150000.0,150.0,150.0,8096.0,NABEUL,,,EzzahraHammam el ghzez/ Ville   Nabeul/ Région   ezzahra,2019,0,appartement,Ben Mbarek,,1,,,,,,,"new new new un appartement (s plus 2) tout neuf,luxe, haut standing à kélibia près de tous les commodités surface  90 m² réf  aem049 pour plus d’infos contactez nous sur   tel  28 533 339 / 53 918 783 / 27 963 273 / 72 330 616 whatsapp   53 918 783"
31897,31897,150000.0,150.0,150.0,8096.0,NABEUL,,,EzzahraHammam el ghzez/ Ville   Nabeul/ Région   ezzahra,,1,appartement,Ben Mbarek,,1,,,,,,,A vendre un appartement S+2 Luxe au 1ère étage à kélibia centre  Chouaref près de tous les commodités  Surface 130 Papier  Titre Bleu Réf AEM050 Pour plus d’infos Contactez nous sur   Tel  28 533 339  53 918 783  27 963 273  72 330 616 WhatsApp   53 918 783 Email   Agencekelibia1@gmail.com
31914,31914,245000.0,150.0,150.0,8050.0,NABEUL,HAMMAMET,,"Hammamet, Tunisie/ Ville   Nabeul/ Région   hammamet",,0,appartement,,,,,,,,,,"À vendre chez notre agence LEADERS_IMMO un magnifique appartement S+3 occupe le 1er étage d’un immeuble situé dans un quartier calme à Hammamet Nord (en face de carrefour Mark et) à 5 min de la mer. L’appartement comporte un salon, une terrasse, trois chambres à coucher chacune dispose un dressing, cuisine équipée et aménagée et une salle de bain. Notre appartement équipé de chauffage central et climatiseur. Superficie totale   124 m² Superficie couverte   110 m² Prix   245 MD Disponibilité d’un garage de 17 m² à 30 MD Réf   AH002 Document   titre foncier Pour plus d’informations contacteznous  27 246 306 Visite des biens disponible 7jrs/7jrs  Site Web   http //leadersimmo.com https //www.youtube.com/channel/UCvog0rk6k2ucztha20MZ0uw  Adresse   ManarethammametBaraket sahel"
31915,31915,110000.0,150.0,150.0,,NABEUL,HAMMAMET,,"Hammamet, Tunisie/ Ville   Nabeul",,0,appartement,,,1,,,,,,,"À vendre chez notre agence LEDERS_IMMO un coquet appartement S+1 au RDC situé dans une zone calme à Hammamet à 5 min de Hôtel Sindbed . L’appartement comporte un salon, une chambre à coucher, une kitchenette et une salle d’eau. Superficie   65 m² Prix   110 MD Document   titre foncier REF   AH005 Pour plus d’informations contacteznous 27246306"
32135,32135,175000.0,200.0,200.0,25500.0,NABEUL,KELIBIA,,kélibia/ Ville   Nabeul/ Région   kélibia,,2,appartement,0,,2,,,,,,,"Casa imed propose à nos chers clients des appartements luxes avec prix bas. Beau appartement avec vue mer Doté d’une terrasse et d’une place de parking dans une résidence sécurisée à plage kerkouane. Ce ravissant appartement saura vous séduire par sa pièce à vivre lumineuse qui s’ouvre sur une cuisine américaine toute équipée. Il est aussi composé d’une salle d’eau moderne, de 3 chambres avec des grands placards intégré . Il est aussi doté d’une terrasse. cet appartement est vendu avec une place de parking privée. Cet appartement conviendra parfaitement à un jeune couple et est idéal pour un investissement locatif ou pour un premier achat. Superficie  133m² prix 175 milles dinars"
32208,32208,430000.0,150.0,150.0,,NABEUL,,,,2005,0,appartement,,,2,,,,,,,"A vendre à Marina Yasmine Hammamet, un superbe appartement de type S+3 d’une superficie de 170 m², situé au 2éme étage (au niveau du POMODORO). Une fois à l’intérieur de l’appartement on découvre un hall de réception qui donne d’une part sur le salon, espace de vie très lumineux donnant sur le balcon avec une vue imprenable sur la Marina, et une pièce de 9m². le hall donne aussi sur un couloir comprenant une salle d’eau (douche, WC et lavabo) et une cuisine aménagée avec un séchoir. la partie nuit se compose d’une pièce de 16m², une salle de bain (douche, baignoire) et une deuxième pièce de 16m², les deux avec vue sur le canal. – Revêtement du Sol en marbre – Dressing intégré dans toutes les chambres – Boiserie en chêne noble – Equipement sanitaire et robinetterie de chez ROCA – Equipements électroménager à la cuisine – Climatisation centrale (chaud et froid) – Parking privé au soussol Prix   430MD (inclus la place de parking 20MD) Pour plus amples renseignements, veuillez contacter le 96 789 803"
32373,32373,90000.0,150.0,150.0,8090.0,NABEUL,,,,,0,appartement,,,,,,,,,,Toujours dans le cadre de garantie vos services CASA RAYEN  met à votre disposition la vente d’appartement  au premier étage  située à kélibia . •Superficie   130m² •Prix   90 milles Ne ratez pas cette occasion et merci de nous contacter sur 23 012 582
32399,32399,70000.0,150.0,150.0,8090.0,NABEUL,,,,,0,appartement,,,,,,,,,,إشري و إستثمر و رجع فلوسك مع كازا ريان الإستثمار ديما موجود!!!  أربعة قرجات للبيع في أريانة مساحة  40 متر الواحد سوم   70 مليون الواحد (مع إمكانية التبديل أو الشراكة في مشروع) متخممش برشا و كلمنا على 23012582  72219729
32414,32414,95000.0,85.0,85.0,8090.0,NABEUL,KELIBIA,,kélibia  / Ville   Nabeul/ Région   mansoura,2018,0,appartement,0,,,,,,,,,"Spécialement, Bénéficie d’un emplacement stratégique au prix raisonnable Casa Rayen met à votre disposition la vente 17 appartements à la même finition.        • Deux chambres à coucher         • Superficie   85 ² / l’un         • Prix   95 milles •Pour réez chaussée prix 100 milles • Profitez de cette occasion et veuillez nous contacter sur 23 012 556"
32595,32595,150000.0,150.0,150.0,,NABEUL,,,,,0,appartement,,,,,,,,,,"Toujours dans le cadre de trouver  les meilleurs biens avec  des prix raisonnables  pour nos clients VICTORIA IMMO met à vendre deux  appartements s+1 nouvellement construisent  au centreville kélibia * le premier appartement se trouve au premier étage se compose dé d’un salon +salle d’eau + chambre à coucher  et cuisine bien équipée Superficie totale   75 m² * Et pour le deuxième étage un appartement se compose  d’un salon et une  chambre à coucher, salle d’eau et cuisine Superficie globale   75 m² – Prix   150000 entrer   indépendant Veuillez nous contacter pour profiter de notre offre Infoligne   58 221 770 et 72 219 713"
33171,33171,975000.0,150.0,150.0,8050.0,NABEUL,HAMMAMET,,Hammamet  Nabeul/ Ville   Nabeul/ Région   Hammamet Nabeul,,0,appartement,,,,,,,,,,"Notre agence 3M immobilière met en vente un immeuble récemment construit d’une surface couverte de 750 m² situé à route Bir Bouregba Hammamet à 20 m de la route principale. L’immeuble est composé de  RDC  un appartement S+3 et 2 garages Premier étage  2 appartements de type s+3. Deuxième étage  2 appartements de type s+3. Troisième étage  un appartement s+1 et un appartement s+2, chacun a une grande terrasse. Possibilité de location. Prix demandé  975 MD. Réf 155A17. Pour plus d’informations , merci de nous contacter."
33180,33180,140000.0,150.0,150.0,8050.0,NABEUL,HAMMAMET,,hammamet nord proche carrefour  Nabeul/ Ville   Nabeul/ Région   hammamet nord proche carrefour Nabeul,,0,appartement,,,,,,,,,,Av un appartement s1 de haut standing neuf dans une residence a hammamet proche de carrefour market situé au 2 eme etage Prix 140MD un peu negociable
33184,33184,200000.0,150.0,150.0,8050.0,NABEUL,,,LIDO Nabeul/ Ville   Nabeul/ Région   Lido Nabeul,,0,appartement,,,,,,,,,,"A vendre chez 3M immobilière, un appartement d’une surface de 110 m² au premier étage d’une résidence gardée avec piscine, parking et accès à la plage à Dar Chaabane Lido. L’appartement est composé d’un salon, une suite parentale, une chambre à coucher avec dressing, une cuisine, une salle de bain et une terrasse ouvrant sur la piscine. Prix demandé  200 MD. Réf 138A17. Pour plus de renseignement , merci de nous contacter."
33206,33206,155000.0,150.0,150.0,8050.0,NABEUL,KELIBIA,,kelibia Nabeul/ Ville   Nabeul/ Région   kelibia Nabeul,,0,appartement,,,,,,,,,,"A vendre un appartement au centre ville Kelibia composé de deux chambres à coucher, deux spacieux salons, un coin de thé, une belle cuisine et une salle de bain. Appartement en 1er étage de superficie 200 m² avec une entrée indépendante sur deux façades Prix   150 000 dinars. pour plus dinformation contacter 00218945374842"
33652,33652,250000.0,150.0,150.0,8050.0,NABEUL,HAMMAMET,,Dar Chaabane 8050 Nabeul/ Ville   Nabeul/ Région   Dar Chaabane,,0,appartement,,,,,,,,,,"3M Immobilière met en vente un appartement s+3 pieds dans l’eau d’une surface de 200 m² au 2 étage avec parking d’une résidence à Dar Chaabane. Prix de vente  250 MD. Réf 117A17 Pour plus de renseignements, merci de nous contacter."
33653,33653,140000.0,150.0,150.0,8050.0,NABEUL,HAMMAMET,,hammamet nord proche carrefour 8050 Nabeul/ Ville   Nabeul/ Région   hammamet nord proche carrefour,,0,appartement,,,,,,,,,,Av un appartement s1 de haut standing neuf dans une residence a hammamet proche de carrefour market situé au 2 eme etage Prix 140MD un peu negociable
33655,33655,220000.0,150.0,150.0,8050.0,NABEUL,HAMMAMET,,Lido 8050 Nabeul/ Ville   Nabeul/ Région   Lido Nabeul,,0,appartement,,,,,,,,,,"A vendre chez 3M immobilière, un appartement d’une surface de 132 m² au RDC d’une résidence gardée avec piscine, parking et accès à la plage à Dar Chaabane Lido. L’appartement est composé d’un salon, une suite parentale, une chambre à coucher avec dressing, une cuisine, une salle de bain, une terrasse ouvrant sur la piscine et un jardin. Prix demandé  220 MD. Réf 139A17. Pour plus de renseignement , merci de nous contacter."
2,2,210000.0,150.0,150.0,,NABEUL,Hammamet,Barraket Essahel,,,0,terrain,,,,,,,,,,"cause départ , à vendre à manaret el hammamet une petite ville  d'un seul étage de trois pièces s+2 de 81 m2 couvert sur terrain de 170m2  avec grande  terrasse dans le jardin et un parking de voiture . possible la construction de deux autres étages   . le quartier est  résidentiel et calme convenant pour habitation permanente et vacances . la mer est à 1 km.5 faisable la marche à pied ."
74,74,150000.0,150.0,150.0,,NABEUL,Kelibia,Kelibia,hammam leghzez tamezrat,,0,terrain,,,,,,,,,,a vendre maison 100m² inachevé situe sur un terrain 1276m² a tamezrat kelibia  electricité eau potable prix 150 000 dinars
93,93,410000.0,150.0,150.0,,NABEUL,Hammamet,Hammamet,,,0,terrain,,,,,,,,,,"a vendre une très belle villa de haut standing situé dans une résidence sécurisée et calme à 8 min de hammamet   la villa compte une salon lumineuse qui donne sur la terrasse et la jardin, une suite parentale  une dressing et salle d'eau),  deux chambres à couchées une cuisine équipée   la villa dispose chauffage centrale, système d'alarme et la climatisation   la surface de terrain  600 m2  la surface habitable  160 m2   prix  410 000 dt   pour tous les renseignements contacter 52 065 446"
122,122,150000.0,150.0,150.0,,NABEUL,Soliman,Soliman,,,0,terrain,,,,,,,,,,bon affaire hectare nu à 50 m de la route et il est titré à ne pas rater  contacter l'agence express immobilière mm leila.
143,143,210000.0,150.0,150.0,,NABEUL,Beni Khalled,Beni Khalled,béni khalled nabeul,,0,terrain,,,,,,,,,,a vendre terrain agricole et habitation a 50 km de tunis au capbon sur oute principale goudronnée a 1 km de centre ville béni khalled superficie 15000 m² prix globale 210000 tnd (140 mille dinar par hectare légèrement négociable ) possibilité d'achat 12500 m² affaire sérieux et d'avenir contact tél   92988488
190,190,700000.0,150.0,150.0,,NABEUL,Hammamet,Hammamet,,,0,terrain,,,,,,,,,,"a vendre une magnifique villa( les agrume ) avec des voûtes croisées, des arcades et une belle piscine quartier calme et verdoyant. villa au style arabe contemporain située dans les vergers d'hammamet. alliant le style moderne avec le style arabesque, moresque .  la villa plain pied située dans un quartier chic et bien sécurisé  un passe 3 villa .  elle dispose d’un grand salon spacieux , séjour, salle à manger un coin cheminée qui donne sur une grande terrasse, magnifique jardin et une belle piscine   avec jacuzzi,une magnifique fontaine  cascade  et une douche extérieur   un coin de barbecue, des arbres ( oranges ,pop mous ,citrons ,mandarine .olives ;grenadine banane   un chambres parent avec dressing et deux autre chambres avec dressing s'ouvre sur la terrasse, et la piscine.  deux salles de bain et une belle cuisine moderne et bien équipée. et une chambre de service.  et abri pour plusieurs voitures. et un loge gardien; puis d'eau avec citerne d'eau de 16 m 3.  la propriété est équipée de chauffage central climatiseurs cheminée énergie solaire  eau sonede ;gaz de ville, électricité  superficie   terrain 750 m² et couvert 200 m²  prix 700 000 d  euro 239 000"
217,217,600000.0,150.0,150.0,8050.0,NABEUL,HAMMAMET,CHAABET EL MREZGA,afh mrezga,,0,terrain,,,,,,,,,,"a vendre a la cité afh mrezga pour 600000 dt une villa haut standing ( terrain 420m et bati 200m ) avec salon , suite et 2 autres chambres , chauffage central , 2 salles d eau , dressings , jardin , garage et abri , pre installalion clim , titre bleu en cours (wb1579)"
377,377,850000.0,150.0,150.0,,NABEUL,HAMMAMET,Hammamet,hammamet,,0,terrain,,,,,,,,,,"a vendre, une somptueuse villa neuve de haut standing de style moderne dans un lotissement résidentiel de cinq villas (la zone craxi) hammamet, avec une belle architecture moderne, à deux minutes du centre ville hammamet, proche de l’autoroute tunis/sousse .la villa est entourée par un grand jardin gazonné bien décoré et fleuri.  la villa est construite sur deux niveaux comprenant     au rdc    un grand salon, salle à manger ouvrant sur la terrasse et piscine, séjour, cuisine ouverte agencée et bien équipée (friteuse, grill, microonde, four.. ) qui donne sur un séchoir, une salle de douche, une chambre à coucher avec placard et escalier intérieur communiquant avec l’étage.   a l’étage     hall, deux chambres à coucher avec placards, une  salle de bain commune et une suite parentale (chambre à coucher dressing et salle d'eau avec cabine de douche) avec un balcon.  extérieur     abri intérieur (entrée) pour 2 voitures ou plus, piscine, terrasse aménagée, balcon à l’étage.   spécificités   villa neuve, belle architecture moderne, villa isolée sur 2 niveaux,gaz de ville, chauffage central, climatisation   superficie couverte   290 m²  prix   850 000 dt"
397,397,6800000.0,150.0,150.0,,NABEUL,Nabeul,Cite El Mahrsi 1,sidi mahressi,,0,terrain,,,,,,,,,,"a vendre a sidi mahressi pour 6800000 dt une tres grande villa de maître pieds dans l'eau bâtie sur un terrain de 3600m et couverts 360m composée d une villa s plus 3 et d un bungalow s plus 2 et un grand jardin , terrasse , garage , possibilité de location estivale pour 8000 dt par semaine le mois de juillet et 9000 dt par semaine le mois d août (wb1545)"
405,405,350000.0,150.0,150.0,,NABEUL,Soliman,Cite Hotel Des Andalous,,,0,terrain,,,,,,,,,,belle villa chic sur mer soliman pied dans l'eau battit sur terrain de 550 m2 titre individuelle  appelez  98684680
421,421,820000.0,150.0,150.0,,NABEUL,HAMMAMET,Hammamet,hammamet nord,,0,terrain,,,,,,,,,,"a vendre a hammamet nord pour 820000 dt une villa s plus 4 (terrain 600m et bati 300m) sur 2 niveaux avec 2 salles de bain et une salle d'eau , jardin , terrasse ,  garage , abri , titre bleu (wb1305)"
422,422,300000.0,150.0,150.0,,NABEUL,HAMMAMET,Hammamet,hammamet nord,,0,terrain,,,,,,,,,,"a vendre a hammamet nord pour 300000 dt une villa s plus 2 (150m bati et terrain 300m) avec salle d'eau (douche ) , climatisation , garage (wb1303)"
429,429,120000.0,150.0,150.0,,NABEUL,HAMMAMET,Hammamet,hammamet,,0,terrain,,,,,,,,,,"av villa plein pieds des 300m2 terrain au cours de construction , situé à 4 km de hammamet yasmine , zone calme , sécurisé , proche des toutes les commodités et loisir .    composée d'un salon , trois chambres à coucher, cuisine , salle de bain , avec terrasse et jardin .    possibilité de faire un piscine .    prix non fini   120md négociable    pour plus des informations contacteznous sur  99202001/ viber 53760830"
443,443,670000.0,150.0,150.0,,NABEUL,Hammamet,Hammamet,,,0,terrain,,,,,,,,,,villa a hammamet zone besbassia et a quelques minutes de yesmine hammamet    superficie terrain   1350 m2    superficie bâti   500 m2    cette résidence se compose de      rdc     salon et salle à manger    sejour    cuisine    salle d'eau    1 studio pour les invités    grand jardin    garage pour 4 voitures    porte de garage automatique    chauffeeau solaire    panneaux solaire photovoltaique    piscine    etage    3 chambres à coucher    1 salle de bain    1 suite parentale    prix de vente   670mdt
473,473,913500.0,150.0,150.0,,NABEUL,Hammamet,Bir Bouregba,,,0,terrain,,,,,,,,,,"sybaris immobilier, agence immobilière située à la marsa vous propose à la vente un terrain nu de 2610 m² avec des étables a l'entrée de hammamet sud en seconde position.  prix  350 dinars/m²  réf 3014172"
509,509,690000.0,150.0,150.0,,NABEUL,Hammamet,Hammamet,,,0,terrain,,,,,,,,,,"à deux pas de la mer, re/max good life vous propose à la vente deux magnifiques triplex dans une zone touristique calme à hammamet.  *superficie terrain  195 m² chacun.  *surface habitable  250m² chaque triplex.  pour plus d'informations ou visite veuillez contacter   moez trigui  00 216 29 924 045."
516,516,850000.0,150.0,150.0,,NABEUL,HAMMAMET,Hammamet,hammamet,,0,terrain,,,,,,,,,,"a vendre, une somptueuse villa neuve, en cours de finition, de style moderne située dans un lotissement résidentiel de cinq villas (la zone craxi) hammamet, avec une belle architecture moderne, à deux minutes du centre ville hammamet, proche de l’autoroute tunis/sousse .la villa est entourée par un grand jardin gazonné bien décoré et fleuri. la villa est construite sur deux niveaux comprenant    au rdc   un grand salon, salle à manger ouvrant sur la terrasse et piscine, séjour, cuisine ouverte agencée et bien équipée qui donne sur un séchoir, une salle de douche, une chambre à coucher avec placard et escalier intérieur communiquant avec l’étage.  a l’étage    hall, deux chambres à coucher avec placards, une  salle de bain commune et une suite parentale (chambre à coucher dressing et salle d'eau avec cabine de douche) avec un balcon. extérieur   abri intérieur entrée pour 2 voitures ou plus, piscine, terrasse aménagée, balcon à l’étage."
616,616,250000.0,150.0,150.0,,NABEUL,HAMMAMET,Hammamet,hammamet,,0,terrain,,,,,,,,,,"sybaris immobilier, agence immobilière située à la marsa vous propose à la vente des appartements haut standing sécurisés à hammamet de 5 étages avec piscine commune et une architecture et décoration de qualité.  des s+2 de surfaces entre 102 et 108 m² a partir de 250md disponibles au rez de chaussée, 1, 2 et 3 étage avec parking."
629,629,850000.0,150.0,150.0,,NABEUL,HAMMAMET,Hammamet,hammamet,,0,terrain,,,,,,,,,,"a vendre, une somptueuse villa neuve de haut standing de style moderne dans un lotissement résidentiel de cinq villas (la zone craxi) hammamet, avec une belle architecture moderne, à deux minutes du centre ville hammamet, proche de l’autoroute tunis/sousse .la villa est entourée par un grand jardin gazonné bien décoré et fleuri.  la villa est construite sur deux niveaux comprenant     au rdc   un grand salon, salle à manger ouvrant sur la terrasse et piscine, séjour, cuisine ouverte agencée et bien équipée qui donne sur un séchoir, salle de douche, chambre à coucher avec placard et escalier intérieur communiquant avec l’étage.   a l’étage    hall, deux chambres à coucher avec placard et une  salle de bain commune, suite parentale (chambre à coucher dressing et salle d'eau avec cabine de douche)   extérieur    abri intérieur (entrée) pour 2 voitures ou plus, piscine, terrasse aménagée, balcon à l’étage.   spécificités  villa neuve, villa isolée,pièces spacieuses, revêtements et matériaux de qualité,sanitaires de luxe,chauffage central, climatisation,système alarme et vidéosurveillance, caméras de surveillances préinstallées  superficie terrain   450 m²   superficie couverte   290 m²"
684,684,220000.0,150.0,150.0,,NABEUL,EL HAOUARIA,Cite Touristique,a la plage d'el haouaria 8045,,0,terrain,,,,,,,,,,"notre agence ranime immobilière annonce a vendre une charmante villa (s+2+cuisine+sdb+entré voiture +accès au terrasse et jardin) a la plage d’el haouaria 8045, bien placée dans un cartier calme, vue dégagé directement de la plage, s’éloigne 200m de la mer. surface de terrain 347m2. surface couvert 150m2. le dossier foncier et bien réglé. occasion a ne pas raté. le prix est 220 000dt pour les sérieux. le prix pour villa clôturé et fini 100%. agence est à votre disposition pour toutes informations et conseils nécessaires afin de disposer du bien. tél   23452279"
700,700,320000.0,150.0,150.0,,NABEUL,Hammam El Ghezaz,Ezzahra,,,0,terrain,,,,,,,,,,a vendre trois appartements à ezzahra kelibia situé en 2ème position de la plage sur un terrain de superficie de 120 m² sur une rue de 7 mètres. en rez de chaussé studio s+1 finis et studio inachevé. en 1er et 2ème étage deux appartements inachevés. maison équipée de trois compteurs de steg. maison avec titre foncier.   prix   320 000 dt   référence   vt465   tel   72 295 572 / 29 760 600 / 29 760 700.
751,751,430000.0,150.0,150.0,,NABEUL,Korba,Korba,,,0,terrain,,,,,,,,,,"avenir immobilier met en vente à korba zone très calme résidentiel à coté de l'hotel africa jad une belle villa à 500 mètre de la plage construit sur un terrain de 220 mètre carré jamais habité très moderne, deux étages totalement séparé   un rdc de 150 mètre carré composé d'un salon , deux chambres à coucher, suite parental, grande cuisine équipée, salle d'eau et salle de bain. le premier étage meme répartition grand salon, deux chambres, suite parent, cuisine équipée, salle d'eau et salle de bain. la villa contient tous les moyens du confort   climatisation, chauffage central, marbre tala premier choix, boiserie frêne haut de gamme, store en aluminium volet roulant électrique, faux plafond, porte blindé, sanitaire et robinetterie très haut de gamme. la villa bénéficie d'une vue mer à partir de deuxième là ou y a une terrasse."
774,774,450000.0,150.0,150.0,,NABEUL,Hammamet,Barraket Essahel,barraket essahel,,0,terrain,,,,,,,,,,"on met pour la vente un appartement situé à barraket essahel derrière kiosque total construit sur un terrain de 330 m² , surface couverte 133 m² composé par un grand salon salle à manger et 3 chambres à coucher , une cuisine et une salle de bain , un jardin et une piscine de 8m sur 3m . l'appartement est doté de climatiseur et de chauffage central ."
795,795,175000.0,150.0,150.0,,NABEUL,HAMMAMET,Hammamet,hammamet,,0,terrain,,,,,,,,,,"av villa pleinpieds de 240m terrain , situé à birbouragba , à proche des touts les commodités et loisirs ( école, la gare, marché)  composée d'un salon ,trois chambres à coucher, salle d'eau cuisine équipé avec garage et un beau de jardin.  prix  175md négociable  pour plus des informations contacteznous sur  99202001  viber  28466261"
